	Predictions													Projections												
cementer	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.269760149	-0.221220641	-0.317806048	-0.257758232	-0.29973393	-0.394493477	-0.371416401	-0.602465762	-0.660032546	-0.485215616	-0.587175953	-0.450521609	-0.884083316
cena	2	2	2	2	1	2	1	1	1	2	1	1	1	0.099353666	0.006525739	0.060667391	0.170006981	-0.026933109	0.098990794	-0.108909155	-0.226823309	-0.2330335	0.020664953	-0.041934253	-0.171617371	-0.012038315
centerpuncher	1	1	1	1	1	1	1	1	1	1	1	2	1	-0.22981942	-0.196317904	-0.244473157	-0.247131591	-0.235284704	-0.145527622	-0.232715297	-0.278487381	-0.318299339	-0.138477086	-0.088931984	0.0105626	-0.448180021
ceo	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.41702106	-0.360824557	-0.543317478	-0.648628495	-0.607141025	-0.535933181	-0.770954679	-0.814706665	-0.752776695	-0.468486764	-0.317836544	-0.166515795	-0.342201688
ceramist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.160433746	-0.337622332	-0.27771708	-0.333657805	-0.458052337	-0.462591233	-0.633042151	-0.648911661	-0.500231986	-0.496614695	-0.475935001	-0.525262749	-0.396584722
certifier	1	1	1	1	1	1	1	1	1	1	2	2	1	-0.227319119	-0.232323371	-0.148883726	-0.080660094	-0.155372151	-0.274301223	-0.269137871	-0.316062488	-0.161285864	-0.241479263	0.12185342	0.069528488	-0.076671031
cfa	2	2	1	1	2	1	1	1	1	1	1	1	2	0.119634926	0.118625815	-0.117381852	-0.014118429	0.046126143	-0.084394961	-0.277545844	-0.274759125	-0.336197855	-0.134130238	-0.087162269	-0.304495053	0.124585849
cfo	1	1	1	1	1	1	1	1	1	1	2	2	1	-0.171755041	-0.205644397	-0.427768998	-0.18753747	-0.259917145	-0.286626749	-0.319780487	-0.511584763	-0.501363273	-0.584817783	0.08484838	0.144082704	-0.013197983
chainer	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.216770496	-0.172994418	-0.198315365	-0.211908194	-0.335555291	-0.315866351	-0.360352344	-0.542274624	-0.616736495	-0.674462247	-0.494160259	-0.32045985	-0.671663173
chainman	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.426057237	-0.373183842	-0.427465376	-0.531444491	-0.509292915	-0.526456076	-0.626080744	-0.675365325	-0.773142791	-0.735917902	-0.430210309	-0.195725575	-0.453807301
chair	1	1	1	1	2	2	1	1	1	1	1	1	1	-0.006930685	-0.280894483	-0.229734633	-0.170274045	0.076909822	0.086564098	-0.22339556	-0.331235225	-0.408198864	-0.198088168	-0.194506731	-0.420241371	-0.390351258
chairman	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.601749408	-0.720547917	-0.683869928	-0.74533979	-0.975437089	-0.66929723	-0.905156606	-0.854760555	-0.769553022	-0.5302824	-0.301744807	-0.020570371	-0.354617132
chancellor	1	1	1	1	1	2	1	2	1	2	2	2	1	-0.102802533	-0.156621462	-0.226304497	-0.193279795	-0.120180832	0.202732535	-0.042285016	0.016815376	-0.149795228	0.042049583	0.155579125	0.043948646	-0.381856502
channeler	1	1	1	1	1	2	1	1	1	1	1	1	1	-0.151564222	-0.153817781	-0.211691704	-0.101093902	-0.207950144	0.058468543	-0.107563359	-0.276328885	-0.330768562	-0.483162382	-0.30868151	-0.296491573	-0.650346369
chaperon	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.285642217	-0.27534215	-0.228077853	-0.324802087	-0.39610501	-0.416452744	-0.367526669	-0.63765615	-0.486618453	-0.505652636	-0.493012444	-0.312996245	-0.417966616
chaperone	1	1	1	1	1	1	1	1	1	1	2	2	2	-0.128637452	-0.182353662	-0.115600973	-0.147508399	-0.221635059	-0.198216102	-0.171915139	-0.191990862	-0.103064216	-0.137566685	0.036349302	0.445277717	0.410251132
chaplain	1	1	1	1	1	1	1	1	1	1	2	2	1	-0.261022424	-0.31765096	-0.431703481	-0.235626902	-0.26542482	-0.170410184	-0.265301618	-0.192532269	-0.316319447	-0.088251988	0.14880347	0.084715347	-0.429369876
chaplaincy	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.312212981	-0.428855922	-0.54432963	-0.407743816	-0.413836011	-0.341463235	-0.341259403	-0.361570931	-0.444657568	-0.432329668	-0.2210056	-0.0858223	-0.269553476
charger	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.291944904	-0.290339444	-0.313797416	-0.336539918	-0.380423473	-0.462552782	-0.442368021	-0.545785483	-0.611695598	-0.480853814	-0.2329565	-0.05275583	-0.263317095
charrer	1	2	2	2	2	2	1	1	1	1	1	1	1	-0.142035691	0.043978771	0.102930003	0.207262851	0.07233686	0.085014366	-0.073085225	-0.226134476	-0.254636479	-0.338102959	-0.140293152	-0.226566555	-0.351567445
chauffeur	1	1	1	1	1	1	1	1	1	1	2	2	2	-0.249948321	-0.22731811	-0.301170873	-0.255071726	-0.387361631	-0.234823978	-0.17640473	-0.251925803	-0.258667853	-0.082962397	0.273072312	0.411959316	0.341162807
checker	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.208127861	-0.10143188	-0.099438196	-0.155250749	-0.262354104	-0.257191319	-0.467309934	-0.466292256	-0.532859118	-0.539990241	-0.431866335	-0.267450647	-0.260130841
checkman	1	1	1	1	1	1	1	1	1	1	1	1	2	-0.41741462	-0.318722931	-0.268673725	-0.355820436	-0.312855912	-0.307013738	-0.433775545	-0.403731002	-0.409984376	-0.342023965	-0.101667076	-0.035815767	0.121881833
cheesemaker	2	2	2	2	2	1	1	1	1	1	2	2	2	0.075638785	0.072876652	0.040450405	0.161632385	0.117755558	-0.102928684	-0.168463057	-0.191501431	-0.190378791	-0.058564404	0.201866234	0.25246374	0.174953567
chef	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.093493814	-0.246745553	-0.228195373	-0.209416021	-0.128662032	-0.166625091	-0.403263754	-0.315900032	-0.315528515	-0.169466127	-0.006013324	-0.198037447	-0.338289188
chefs	2	1	1	1	2	2	1	1	1	1	1	1	1	0.040545985	-0.018453431	-0.071472422	-0.133469146	0.007627043	0.079956119	-0.076536011	-0.05145821	-0.261578185	-0.201329299	-0.170061729	-0.196900217	-0.446514078
chemist	1	1	1	1	1	1	1	2	1	2	2	2	1	-0.15667375	-0.173854873	-0.142028458	-0.090390001	-0.048992368	-0.140824341	-0.279726623	0.019926369	-0.110326341	0.102276103	0.398588361	0.533573515	-0.283233263
chemists	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.227416762	-0.181743712	-0.287965551	-0.175984572	-0.142508055	-0.121479853	-0.27775291	-0.388314911	-0.483953967	-0.590978238	-0.28120432	-0.118298414	-0.480939898
chemotherapist	1	1	1	1	1	1	1	1	1	2	2	2	2	-0.205268748	-0.326503194	-0.340085418	-0.310732116	-0.348091475	-0.143174728	-0.127446867	-0.162955873	-0.011909137	0.078210802	0.145063784	0.416971006	0.681239692
chha	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.338929028	-0.424913063	-0.408890238	-0.340558335	-0.625529369	-0.510713109	-0.595570521	-0.501618148	-0.495895095	-0.307200607	-0.368381437	-0.256822654	-0.533008555
chipper	1	1	1	1	1	1	1	1	1	1	2	2	2	-0.20739658	-0.197014732	-0.180541842	-0.089646543	-0.029506355	-0.079612517	-0.429513806	-0.441920345	-0.310643834	-0.094986892	0.350142543	0.536871171	1.049044685
chlorinator	1	1	1	1	1	2	2	2	2	2	2	2	2	-0.158624711	-0.288599103	-0.268399329	-0.209752011	-0.170360015	0.039851623	0.066569874	0.155920709	0.190496821	0.282780062	0.243112606	0.344990089	0.450710218
chocolatier	1	1	1	1	1	1	1	1	2	2	2	2	2	-0.019948435	-0.134170596	-0.159776615	-0.195320861	-0.174083383	-0.036782111	-0.158765765	-0.092916856	0.158126269	0.301072026	0.637853247	0.810957751	0.397658812
choirmaster	1	1	1	1	1	2	2	1	1	1	2	2	2	-0.14749155	-0.175983718	-0.141978794	-0.131213515	-0.111116433	0.085883293	0.043461288	-0.101468151	-0.146288432	0.003405344	0.163542124	0.378093445	0.251563218
chro	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.54830073	-0.560033375	-0.595481226	-0.410757804	-0.664616524	-0.486289846	-0.527420902	-0.569255262	-0.600294915	-0.594433711	-0.467508538	-0.489208967	-0.621505206
chucker	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.33206091	-0.407243672	-0.496694072	-0.592373377	-0.484892042	-0.502700043	-0.625885064	-0.601140688	-0.621289797	-0.686775818	-0.284590879	-0.110975583	-0.417512574
chummer	1	1	1	2	2	2	1	1	1	1	2	2	1	-0.020278506	-0.037187819	-0.041318377	0.107287348	0.032316064	0.171046455	-0.031626664	-0.193129733	-0.278995155	-0.081966252	0.135674989	0.049617814	-0.012530573
churner	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.107576227	-0.112692915	-0.192550044	-0.177265096	-0.384486409	-0.266285096	-0.52458251	-0.686506189	-0.644395284	-0.452987127	-0.237846459	-0.361567694	-0.581730906
cinetechnician	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.135901703	-0.193406008	-0.13099786	-0.134480787	-0.104871941	-0.096435479	-0.2273671	-0.374974325	-0.459207882	-0.489082327	-0.455591885	-0.532608144	-0.54695943
cio	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.362732144	-0.233030595	-0.368826134	-0.251270912	-0.342517857	-0.3546977	-0.383023415	-0.539709994	-0.380848267	-0.417320545	-0.255089853	-0.406686539	-0.35235903
circulator	1	1	1	2	1	2	1	1	1	1	2	2	2	-0.178651851	-0.16169704	-0.085240735	0.010590052	-0.092612495	0.043129807	-0.059612368	-0.108509264	-0.153682507	-0.009315499	0.185559092	0.413227586	0.125938318
ciso	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.403922193	-0.367380329	-0.468008095	-0.302229219	-0.308920633	-0.337035976	-0.289015301	-0.506138311	-0.35520701	-0.186272567	-0.010032328	-0.091935624	-0.177681856
cissp	1	1	1	2	2	2	2	2	2	2	2	2	1	-0.099606845	-0.101636888	-0.125084207	0.040683012	0.067126225	0.202898571	0.171379016	0.107254268	0.09903698	0.124443725	0.310970273	0.270278289	-0.117075361
clammer	1	1	1	1	1	1	1	1	1	1	2	2	2	-0.100371162	-0.224992895	-0.169669982	-0.12279088	-0.1903978	-0.082068656	-0.184165434	-0.367934306	-0.38446476	-0.294359965	0.10105502	0.47018021	0.532363858
clamper	1	1	1	2	1	1	1	1	1	1	1	1	1	-0.006776479	-0.105161033	-0.012247832	0.024707051	-0.166265669	-0.125506465	-0.250572826	-0.545169058	-0.528699639	-0.578588081	-0.573595012	-0.577424457	-0.32157424
clarifier	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.186902049	-0.229751245	-0.124542241	-0.040736942	-0.04702332	-0.012461512	-0.0173252	-0.082918742	-0.135941755	-0.102472684	-0.188859619	-0.072892333	-0.33698671
classer	1	1	1	1	1	2	1	1	1	1	1	1	1	-0.149269079	-0.126762159	-0.197478705	-0.167347517	-0.004826311	0.022774554	-0.021153953	-0.189906766	-0.370745719	-0.344232639	-0.334390505	-0.284831842	-0.683340703
classifier	1	1	1	2	2	2	1	1	1	1	1	2	1	-0.049134656	-0.090174673	-0.041411161	0.081402849	0.169053128	0.086588081	-0.016204185	-0.105704455	-0.253972551	-0.160248089	-0.031684592	0.011206852	-0.234449905
cleaner	2	2	2	2	2	2	2	2	1	2	2	2	1	0.359084789	0.116550457	0.229144165	0.240912406	0.433680612	0.358832081	0.200630639	0.242091138	-0.025933131	0.266539961	0.106819636	0.020865811	-0.04323655
cleaners	2	1	1	2	2	2	1	1	1	1	1	1	1	0.030462505	-0.078079346	-0.115439071	0.055313372	0.094293389	0.067392439	-0.11995675	-0.313746896	-0.388431546	-0.306180575	-0.200376942	-0.157254725	-0.263727101
cleater	1	1	2	2	2	2	1	1	1	1	1	2	2	-0.019618197	-0.098500251	0.042761428	0.055197563	0.012570292	0.040855622	-0.10600396	-0.259079719	-0.247678898	-0.24907362	-0.049856658	0.175524223	0.030583029
clerk	2	2	2	2	2	2	2	2	1	2	2	2	2	0.174547704	0.115663457	0.10658182	0.15581026	0.170958271	0.167653651	0.150300894	0.036248107	-0.066638901	0.264225479	0.565337639	0.566715604	0.566152653
climatologist	1	1	1	1	1	1	1	1	1	1	1	1	2	-0.066621515	-0.197015853	-0.146556415	-0.184711448	-0.135327624	-0.082800411	-0.194228068	-0.312691094	-0.377603791	-0.326854897	-0.185316869	-0.122791686	0.129693762
clipman	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.166208214	-0.225827178	-0.172661869	-0.331502634	-0.321405152	-0.419389425	-0.519333024	-0.535247923	-0.5518818	-0.54181389	-0.370604344	-0.308225694	-0.216229186
clockmaker	2	2	2	2	2	1	1	1	1	1	1	2	2	0.346000792	0.318184689	0.258144314	0.338267236	0.158306402	-0.16332069	-0.228052349	-0.161726886	-0.242361398	-0.225690932	-0.041124167	0.105045873	0.239726862
clocksmith	1	1	1	2	1	1	1	1	1	1	1	1	1	-0.081000552	-0.064788555	-0.038427419	0.065551079	-0.011574205	-0.075101771	-0.287278724	-0.253941465	-0.309845078	-0.319944267	-0.241463094	-0.117695615	-0.090158426
cma	2	1	1	2	2	1	1	1	1	1	1	1	1	0.008046062	-0.009701839	-0.022513566	0.134326338	0.032370221	-0.01151117	-0.016518501	-0.164742986	-0.177976531	-0.100357874	-0.043310467	-0.205678045	-0.398143148
cmo	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.207292922	-0.26649595	-0.278559025	-0.206492683	-0.338359802	-0.32279291	-0.327149211	-0.521276079	-0.444388767	-0.421272472	-0.251510489	-0.268772156	-0.396031096
cna	1	2	1	2	2	2	2	1	1	1	1	1	1	-0.033839906	0.025127373	-0.003310304	0.103711902	0.039717272	0.080990798	0.020850421	-0.213429776	-0.208599239	-0.206961159	-0.266446003	-0.467169243	-0.607525967
cnmt	2	2	2	2	2	2	2	1	1	1	1	1	1	0.099993778	0.076435822	0.044122034	0.216003744	0.204133461	0.110292638	0.045554338	-0.091099684	-0.145510765	-0.237166278	-0.126547517	-0.1967941	-0.338520788
cnp	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.18502024	-0.169660603	-0.264871446	-0.227022079	-0.189699479	-0.291039699	-0.302627486	-0.518792068	-0.542530067	-0.590045587	-0.596850892	-0.652923323	-0.753747758
cns	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.165308755	-0.112444332	-0.29090985	-0.155851004	-0.100414922	-0.150226856	-0.110989214	-0.396832621	-0.396682187	-0.462847135	-0.445563196	-0.588930332	-0.783337101
coach	1	1	1	1	1	1	1	1	1	1	2	2	2	-0.149371358	-0.183317266	-0.309092722	-0.205906859	-0.220144438	-0.115884371	-0.210279087	-0.259322735	-0.28240333	-0.139019043	0.129466705	0.263492414	0.314890681
coagulator	1	1	1	1	1	1	1	1	1	1	1	2	1	-0.086650825	-0.169241384	-0.153143469	-0.116066072	-0.252219152	-0.103039366	-0.185757451	-0.261434617	-0.211299333	-0.256210268	-0.115813117	0.013820716	-0.111361816
coater	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.290582452	-0.313092775	-0.396780298	-0.316513801	-0.297924322	-0.298624878	-0.303103684	-0.51038904	-0.548624618	-0.491629877	-0.490831486	-0.295996893	-0.479887636
coder	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.17622061	-0.209321055	-0.185112148	-0.06958103	-0.117375369	-0.211701297	-0.31262777	-0.522841104	-0.581497188	-0.575360685	-0.429831636	-0.190400112	-0.339741206
codifier	1	1	1	1	1	1	1	1	1	1	1	2	2	-0.156717581	-0.184435498	-0.204379252	-0.10398805	-0.238989704	-0.301760702	-0.346314845	-0.332613646	-0.306227217	-0.166873121	-0.112466112	0.085020085	0.023543468
cofounder	1	1	1	1	1	1	1	1	1	1	2	2	2	-0.147501796	-0.257506211	-0.355420962	-0.28601051	-0.386514184	-0.126700137	-0.134416962	-0.302861612	-0.240517307	-0.221559188	0.072558153	0.192655859	0.012091274
cognos	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.233129885	-0.215058013	-0.298177587	-0.172947126	-0.181539012	-0.25456736	-0.283663986	-0.56392917	-0.546497738	-0.483450807	-0.208961369	-0.005928582	-0.313892029
coiler	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.146338451	-0.159135378	-0.179756079	-0.143189755	-0.188357817	-0.320748693	-0.451742171	-0.636397088	-0.792296423	-0.621283694	-0.737455922	-0.7060734	-0.99839965
cokeman	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.499359766	-0.523778598	-0.548048025	-0.490473519	-0.496129355	-0.611671935	-0.676857481	-0.77157964	-0.837445054	-0.8836783	-0.504760418	-0.274778705	-0.266132291
coldfusion	2	2	2	2	2	2	1	1	1	1	2	2	2	0.215763006	0.208914725	0.151313944	0.171306448	0.285800685	0.177460389	-0.04433398	-0.0666905	-0.125455235	-0.042238329	0.113402392	0.246355372	0.502542031
collator	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.219684877	-0.363721435	-0.42576961	-0.316966282	-0.390705861	-0.251341986	-0.329193667	-0.415009219	-0.363487361	-0.357668219	-0.363476627	-0.25264479	-0.354929706
collector	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.003895652	-0.112289554	-0.154248196	-0.188950336	-0.20787839	-0.059086239	-0.27796382	-0.266505802	-0.45936242	-0.237408857	-0.456177384	-0.352900156	-0.534812393
colleter	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.190627829	-0.20532646	-0.293554079	-0.31889753	-0.282291503	-0.120122847	-0.163837882	-0.296490954	-0.327735546	-0.274306271	-0.195781366	-0.107349654	-0.166113729
colorer	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.164252934	-0.145082071	-0.083882048	-0.107376223	-0.035152026	-0.194777992	-0.176160852	-0.273099194	-0.289211832	-0.175616235	-0.181578854	-0.08151582	-0.334553621
colorist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.143284652	-0.192900237	-0.227988254	-0.271103118	-0.213510445	-0.41573607	-0.495392543	-0.456219151	-0.379888686	-0.319268747	-0.396737942	-0.307243481	-0.681013227
colorman	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.373539697	-0.293487983	-0.226331744	-0.317390882	-0.171114161	-0.217055285	-0.251834904	-0.30933041	-0.332691134	-0.090604804	-0.130160335	-0.125355407	-0.133205024
columnist	2	2	1	1	1	1	1	1	1	1	2	2	1	0.069038079	0.182894002	-0.054196377	-0.079183699	-0.121671043	-0.087546476	-0.31939921	-0.253902589	-0.222757058	-0.059546146	0.127064164	0.356910481	-0.320053398
combiner	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.287175031	-0.308534833	-0.318306282	-0.337460004	-0.407338232	-0.501863446	-0.681059823	-0.872863376	-0.891718917	-0.798853171	-0.901074219	-0.741840386	-0.983708813
comedian	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.283754242	-0.196156307	-0.319765492	-0.259649063	-0.333352481	-0.092084949	-0.451542786	-0.554845403	-0.695744971	-0.362200991	-0.256869607	-0.298924925	-0.594884634
companion	2	2	2	2	2	2	1	1	1	1	1	2	2	0.11783951	0.199273055	0.131537954	0.276143514	0.158662015	0.015155638	-0.289899139	-0.281694014	-0.229808577	-0.136649066	-0.016010891	0.211940993	0.336153211
compensator	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.122544944	-0.344191975	-0.371395546	-0.370020957	-0.258055409	-0.2661394	-0.284383274	-0.378567075	-0.300821639	-0.428466589	-0.431510266	-0.183348307	-0.051485162
compounder	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.239062833	-0.282348848	-0.284393178	-0.278216396	-0.430442991	-0.465243303	-0.510276778	-0.583537586	-0.595192053	-0.578420791	-0.58250785	-0.438813054	-0.898964494
comptometrist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.135245417	-0.271159519	-0.171610007	-0.153317474	-0.201526761	-0.229638488	-0.26339007	-0.405023918	-0.47713949	-0.455570614	-0.354442103	-0.050768088	-0.330674958
comptroller	1	1	1	1	1	2	2	1	1	1	2	2	2	-0.025112898	-0.168654402	-0.075342587	-0.000241372	-0.051460819	0.12346403	0.031243999	-0.064130711	-0.161073814	-0.002161516	0.288919764	0.557011391	0.710063386
computator	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.013883529	-0.169962823	-0.177355354	-0.049226157	-0.026538648	-0.225906524	-0.375502016	-0.472317991	-0.575920396	-0.706744798	-0.608463856	-0.220767991	-0.153183716
concaver	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.208902763	-0.173925221	-0.231400583	-0.29746531	-0.380722709	-0.432155799	-0.381825008	-0.65781443	-0.72537893	-0.652466031	-0.681375338	-0.445461238	-0.670024552
conceptor	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.188544579	-0.360099726	-0.360529851	-0.39121027	-0.510901691	-0.418764364	-0.422703608	-0.589970518	-0.672896011	-0.639484645	-0.546680382	-0.396725464	-0.346193196
concessionist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.216241241	-0.342946316	-0.431063325	-0.358201815	-0.402978871	-0.640061202	-0.696175782	-0.842069113	-0.644770415	-0.619340519	-0.550942304	-0.471949365	-0.464106359
concierge	1	1	1	1	1	1	1	1	2	2	2	2	2	-0.282042137	-0.125474513	-0.241543893	-0.233852605	-0.24999358	-0.191886532	-0.167037643	-0.125353926	0.026686364	0.151501001	0.463304893	0.623683559	0.544200395
conciliator	1	1	1	1	1	1	1	1	1	1	2	2	2	-0.198166811	-0.188218829	-0.162548522	-0.215331404	-0.307474258	-0.324961991	-0.306082405	-0.339626625	-0.309224729	-0.348992137	0.022817307	0.4193801	0.266469115
concreter	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.344565594	-0.335842598	-0.427952301	-0.254409111	-0.282626511	-0.232689768	-0.206582108	-0.289883391	-0.501529029	-0.433618373	-0.660779397	-0.735794898	-0.801851208
configurator	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.326765014	-0.296962714	-0.25014039	-0.138546078	-0.2096447	-0.294407422	-0.315913463	-0.407228747	-0.501715408	-0.535085406	-0.346103389	-0.200172271	-0.314335718
consignee	1	1	1	2	2	2	2	2	2	2	2	2	2	-0.109488165	-0.039981478	-0.049514122	0.00549819	0.101699134	0.334689949	0.287581737	0.244930496	0.189810263	0.226920284	0.129382497	0.247102068	0.069553755
consolidator	1	1	1	1	1	1	1	1	1	1	1	2	2	-0.070859232	-0.07710011	-0.100279515	-0.17832848	-0.230323197	-0.195339404	-0.133541797	-0.155868819	-0.038604869	-0.181213216	-0.137806814	0.2150495	0.32581462
consultant	1	1	1	1	1	1	1	1	1	1	1	2	1	-0.218574824	-0.250902353	-0.368044658	-0.294891265	-0.28120832	-0.060501458	-0.129676774	-0.328127734	-0.292125926	-0.134238347	-0.022309317	0.055746572	-0.283833056
conveyancer	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.235169743	-0.229691373	-0.268112074	-0.233327771	-0.163826283	-0.089147861	-0.281285281	-0.393001494	-0.564338396	-0.476042425	-0.435090513	-0.306465833	-0.415667418
coo	1	1	1	1	1	1	1	1	1	1	2	2	1	-0.231733929	-0.250762151	-0.375971861	-0.259451356	-0.280072699	-0.209031064	-0.333059558	-0.492272696	-0.423811365	-0.417595331	0.040315897	0.103122772	-0.281629785
cookee	1	1	1	2	2	2	1	1	1	1	1	1	1	-0.143664664	-0.010933456	-0.087596991	0.059340206	0.258557635	0.081776005	-0.005591449	-0.049452305	-0.318681992	-0.368436032	-0.132990783	-0.123376096	-0.273648968
cooperer	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.232088719	-0.213291538	-0.348857081	-0.288445342	-0.407693572	-0.48875497	-0.293076586	-0.490086435	-0.471983514	-0.494363737	-0.392256699	-0.329505503	-0.408451906
cop	1	1	1	1	1	1	1	2	1	2	2	1	2	-0.30333316	-0.422385336	-0.280716979	-0.236779565	-0.216639414	-0.077944699	-0.143184537	0.006789686	-0.136122882	0.009612997	0.005943341	-0.050224899	0.004816505
cops	1	1	1	1	1	2	1	2	1	2	2	2	2	-0.252973296	-0.304113077	-0.342710839	-0.258687813	-0.161002814	0.014829165	-0.038562364	0.012833629	-0.068600247	0.171882551	0.301260814	0.384749326	0.665452157
copyholder	2	1	1	1	1	1	1	1	1	1	1	1	2	0.015196898	-0.102549623	-0.005356859	-0.06893726	-0.169992219	-0.261072663	-0.292458789	-0.336488418	-0.352515851	-0.217655211	-0.102769076	-0.256072973	0.169408831
copyist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.121945687	-0.337147246	-0.362729142	-0.454255693	-0.460542992	-0.50760222	-0.490114986	-0.614923731	-0.597014068	-0.553776403	-0.564283792	-0.583608014	-0.43181828
copyman	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.352200735	-0.365177574	-0.352671391	-0.482094046	-0.5508	-0.548642312	-0.539360411	-0.646388149	-0.675900169	-0.517992016	-0.21641792	-0.013265553	-0.085303246
copywriter	2	1	2	2	1	2	2	1	1	1	2	2	2	0.111035688	-0.001909027	0.069817254	0.035136847	-0.077835031	0.01466347	0.054508512	-0.070501086	-0.220660382	-0.022252687	0.413530386	0.582167432	0.629444939
cordwainer	1	1	1	1	1	1	1	1	1	1	1	1	2	-0.025925993	-0.068235336	-0.171573438	-0.243267436	-0.297985866	-0.30389452	-0.358254222	-0.339915281	-0.359650223	-0.429930987	-0.397319555	-0.314071074	0.07838908
coremaker	1	2	1	1	1	1	1	1	1	1	1	1	1	-0.013389923	0.003940691	-0.140951288	-0.115796356	-0.175477012	-0.329999104	-0.38898075	-0.36993596	-0.209261489	-0.08642338	-0.073143192	-0.05770383	-0.272118153
cornetist	1	1	1	1	1	1	1	1	1	1	1	1	1	-0.170375313	-0.162140072	-0.201193772	-0.230042416	-0.34800172	-0.285698738	-0.344949744	-0.523014065	-0.446405499	-0.428881875	-0.218380869	-0.005505425	-0.639436438
coroner	1	1	1	1	1	2	2	2	1	2	2	2	2	-0.211659226	-0.335199896	-0.354793476	-0.381495795	-0.19526509	0.233582544	0.00954149	0.056947678	-0.129064292	0.090567593	0.268724908	0.325764258	0.584282655
corpsman	1	1	1	1	1	1	1	1	1	1	2	2	1	-0.419440281	-0.489762827	-0.533933093	-0.442996368	-0.354909688	-0.056255701	-0.144366493	-0.159397207	-0.195847512	-0.049813292	0.101851428	0.203784726	-0.335811869
correspondent	2	2	2	1	2	2	2	2	2	2	2	2	2	0.103486858	0.104943853	0.008671116	-0.022681878	0.132761334	0.479926802	0.39039253	0.373684922	0.165301647	0.403268585	0.545449978	0.863733312	0.946016906
corrugator	1	1	1	1	1	1	1	1	1	1	1	2	1	-0.096849299	-0.249904715	-0.263013873	-0.193077179	-0.279286865	-0.251458505	-0.24529891	-0.303008959	-0.272089628	-0.193246384	-0.037432326	0.250937552	-0.318840391
corsetier	1	1	1	1	1	2	2	1	2	2	2	2	2	-0.11435754	-0.102555894	-0.193171383	-0.037671798	-0.100846395	0.124332611	0.048406268	-0.015232781	0.198807648	0.304949716	0.471722908	0.354075205	0.289114136
cosmetician	1	2	2	2	2	1	1	1	1	2	2	2	2	-0.03563493	0.024627837	0.063006747	0.127776401	0.128893403	-0.034331304	-0.171261648	-0.135063913	-0.107075043	0.023766222	0.214616396	0.209845438	0.066610703
cosmetologist	1	1	1	1	1	1	1	1	1	1	1	2	1	-0.221532479	-0.350293903	-0.386609886	-0.316160511	-0.339037376	-0.263979889	-0.274968725	-0.442986035	-0.370400943	-0.233724716	-0.061036943	0.108680236	-0.290260162
